daily_statistic,percentile,baseline_A,baseline_B,filename,LC_code,LC_name,Elevation,count,mean,median,std
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,16,Barren,1000_1500,989,0.1586725699768992,0.15605926513671875,0.04374574732258688
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,16,Barren,1500_2000,63,0.20246545095292348,0.21448898315429688,0.04288816353560959
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,16,Barren,2000_2500,25,0.22186285018920898,0.2059955596923828,0.03670475221539134
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,16,Barren,2500_3500,34,0.26854367817149444,0.27487826347351074,0.056788342970403555
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,17,Water,0_500,1532,0.24025926639766046,0.2322406768798828,0.09555332376774811
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,17,Water,500_1000,43,0.23571240624716117,0.2375640869140625,0.07568169212247922
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,17,Water,1000_1500,9,0.23920186360677084,0.24400711059570312,0.012152031602876237
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,1,ENF,0_500,373,0.4728051408046692,0.5042667388916016,0.12342983979943782
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,1,ENF,500_1000,259,0.42192130659537885,0.4560375213623047,0.1097422236914902
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,1,ENF,1000_1500,251,0.4919352930380529,0.4942617416381836,0.11686505204086933
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,1,ENF,1500_2000,108,0.4495924578772651,0.44884443283081055,0.07185512047634218
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,2,EBF,0_500,134,0.2126080954252784,0.1737842559814453,0.13506154501954323
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,2,EBF,500_1000,23,0.26814775881559955,0.26659584045410156,0.08867313490008391
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,2,EBF,1000_1500,1,0.2232818603515625,0.2232818603515625,0.0
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,4,DBF,0_500,1278,0.5235256857715302,0.5163021087646484,0.11312817257932987
daily_maximum,p90,1991_2020,1981_2010,p90_1991_2020_minus_1981_2010_daily_maximum_baseline.tif,4,DBF,500_1000,1276,0.4915197351509501,0.4877338409423828,0.12002554566384446
