daily_stat,percentile,baseline_A,baseline_B,top_frac,LC_code,LC_name,count_hot,fraction_hotspot,fraction_global,enrichment_ratio,difference,reliable,filename
daily_mean,p90,1991_2020,1981_2010,0.1,1,ENF,29,0.004301394245031148,0.008247845711940911,0.5215173022458164,-0.003946451466909763,False,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p90,1991_2020,1981_2010,0.1,4,DBF,334,0.04954019578760012,0.024160853508411982,2.0504323562225117,0.025379342279188137,True,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p90,1991_2020,1981_2010,0.1,5,MF,382,0.05665974488282409,0.02656544932293804,2.132835932645077,0.03009429555988605,True,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p90,1991_2020,1981_2010,0.1,7,Open Shrub,38,0.005636309700385643,0.025736561345917112,0.21900010745918067,-0.020100251645531468,True,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p90,1991_2020,1981_2010,0.1,8,Woody Savanna,334,0.04954019578760012,0.02796060730406237,1.771785399682734,0.02157958848353775,True,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p90,1991_2020,1981_2010,0.1,9,Savanna,443,0.06570750519133788,0.053992613869511694,1.2169721093729322,0.011714891321826182,True,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p90,1991_2020,1981_2010,0.1,10,Grass,506,0.07505191337881933,0.06569552728764874,1.1424204428743456,0.009356386091170593,True,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p90,1991_2020,1981_2010,0.1,11,Wetland,13,0.001928211213289825,0.00019696347968814116,9.789689014140215,0.001731247733601684,False,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p90,1991_2020,1981_2010,0.1,12,Cropland,4435,0.6578166716107979,0.1954616331555191,3.365451628491234,0.4623550384552788,True,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p90,1991_2020,1981_2010,0.1,13,Urban,63,0.00934440818748146,0.007558473533032417,1.2362824512970856,0.0017859346544490421,False,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p90,1991_2020,1981_2010,0.1,14,Crop/Nat Mosaic,28,0.004153070305547315,0.008961838325810422,0.4634172314385901,-0.004808768020263107,False,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p90,1991_2020,1981_2010,0.1,16,Barren,23,0.003411450608128152,0.09854739433729996,0.03461735981016117,-0.0951359437291718,False,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p90,1991_2020,1981_2010,0.1,17,Water,114,0.016908929101156926,0.45545342634386543,0.03712548445818641,-0.4385444972427085,True,p90_1991_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p95,1981_2020,1981_2010,0.05,1,ENF,6,0.0017798872738059924,0.008247845711940911,0.21580026299826882,-0.006467958438134918,False,p95_1981_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p95,1981_2020,1981_2010,0.05,4,DBF,473,0.14031444675170573,0.024160853508411982,5.807512002953581,0.11615359324329375,True,p95_1981_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p95,1981_2020,1981_2010,0.05,5,MF,190,0.05636309700385642,0.02656544932293804,2.1216692523694487,0.029797647680918384,True,p95_1981_2020_minus_1981_2010_daily_mean_baseline.tif
daily_mean,p95,1981_2020,1981_2010,0.05,7,Open Shrub,66,0.019578760011865915,0.025736561345917112,0.7607372153845222,-0.006157801334051197,True,p95_1981_2020_minus_1981_2010_daily_mean_baseline.tif
