percentile,baseline,LC_code,LC_name,Elevation,count,mean,median,std
p95,1991_2020,17,Water,1000_1500,9,0.3435317145453559,0.33661460876464844,0.023281498677118404
p97,1981_2020,1,ENF,0_500,373,0.2469564954333267,0.262908935546875,0.07381616838448826
p97,1981_2020,1,ENF,500_1000,259,0.22155299241938647,0.2514333724975586,0.07207929400175957
p97,1981_2020,1,ENF,1000_1500,251,0.27241583934343194,0.2908010482788086,0.0796832573382808
p97,1981_2020,1,ENF,1500_2000,108,0.25598029295603436,0.2589092254638672,0.04826618016254143
p97,1981_2020,2,EBF,0_500,134,0.12899655014721315,0.11445426940917969,0.07111294456034575
p97,1981_2020,2,EBF,500_1000,23,0.1327689212301503,0.13183021545410156,0.04649496868213699
p97,1981_2020,2,EBF,1000_1500,1,0.0798187255859375,0.0798187255859375,0.0
p97,1981_2020,4,DBF,0_500,1278,0.30033976222054687,0.31107044219970703,0.08222130221975923
p97,1981_2020,4,DBF,500_1000,1276,0.2848499441595287,0.29515504837036133,0.08389655874357016
p97,1981_2020,4,DBF,1000_1500,361,0.269264758788978,0.2703514099121094,0.0743231240127208
p97,1981_2020,4,DBF,1500_2000,7,0.2753699166434152,0.2740745544433594,0.07747068543929765
p97,1981_2020,5,MF,0_500,1403,0.29611696962450373,0.2988700866699219,0.04480847307028616
p97,1981_2020,5,MF,500_1000,1186,0.29138910026614623,0.2989678382873535,0.06041361246688439
p97,1981_2020,5,MF,1000_1500,599,0.29952908039889076,0.31585264205932617,0.0725521756561661
p97,1981_2020,5,MF,1500_2000,49,0.2785676547459194,0.2936677932739258,0.06321722874013762
p97,1981_2020,6,Closed Shrub,500_1000,1,0.3743743896484375,0.3743743896484375,0.0
p97,1981_2020,7,Open Shrub,0_500,614,0.21380433197518514,0.20558547973632812,0.07579652269815398
p97,1981_2020,7,Open Shrub,500_1000,1188,0.20553826322459212,0.21599769592285156,0.10815290416173058
p97,1981_2020,7,Open Shrub,1000_1500,968,0.145710776660068,0.11370372772216797,0.08649396766530297
p97,1981_2020,7,Open Shrub,1500_2000,293,0.20255401272822565,0.20508480072021484,0.046793074788606906
p97,1981_2020,7,Open Shrub,2000_2500,56,0.19732892513275146,0.20475482940673828,0.037501866646324614
p97,1981_2020,7,Open Shrub,2500_3500,6,0.23258654276529947,0.22000455856323242,0.02355153793580538
p97,1981_2020,8,Woody Savanna,0_500,1505,0.2242942556590337,0.24156761169433594,0.09070009005017396
p97,1981_2020,8,Woody Savanna,500_1000,1206,0.21861468144317173,0.2172865867614746,0.0891601967409072
p97,1981_2020,8,Woody Savanna,1000_1500,559,0.26065785812350634,0.26201725006103516,0.08132659554890742
p97,1981_2020,8,Woody Savanna,1500_2000,72,0.2738106846809387,0.29156923294067383,0.06087738765489819
p97,1981_2020,9,Savanna,0_500,4104,0.23891191245519627,0.24843931198120117,0.09104741424726397
p97,1981_2020,9,Savanna,500_1000,1843,0.24046710620286085,0.24477195739746094,0.0884752878976295
p97,1981_2020,9,Savanna,1000_1500,493,0.26175241296238155,0.2679710388183594,0.09696142621534061
p97,1981_2020,9,Savanna,1500_2000,20,0.2606376647949219,0.2578253746032715,0.0903430943456276
p97,1981_2020,9,Savanna,2000_2500,1,0.3879537582397461,0.3879537582397461,0.0
p97,1981_2020,10,Grass,0_500,2158,0.21934956682291817,0.20644760131835938,0.08162592186480255
p97,1981_2020,10,Grass,500_1000,2042,0.22517126384141045,0.22623777389526367,0.08176999882901267
p97,1981_2020,10,Grass,1000_1500,1998,0.24142501495025298,0.24588298797607422,0.08537040491607895
p97,1981_2020,10,Grass,1500_2000,1126,0.24196228167938721,0.2349095344543457,0.0745646211392199
p97,1981_2020,10,Grass,2000_2500,452,0.24770224911976704,0.24753665924072266,0.06331709736872514
p97,1981_2020,10,Grass,2500_3500,97,0.2332743652088126,0.23602294921875,0.05790206404636112
p97,1981_2020,11,Wetland,0_500,11,0.29181610454212537,0.29869651794433594,0.040845453222163125
