daily_stat,percentile,baseline,top_frac,LC_code,LC_name,count_hot,fraction_hotspot,fraction_global,enrichment_ratio,difference,reliable
daily_mean,p97,1981_2020,0.1,17,Water,67,0.00993770394541679,0.45545342634386543,0.02181936367279377,-0.44551572239844867,True
daily_mean,p97,1991_2020,0.05,1,ENF,9,0.0026698309107089885,0.008247845711940911,0.32370039449740323,-0.005578014801231922,False
daily_mean,p97,1991_2020,0.05,4,DBF,382,0.11331948976564818,0.024160853508411982,4.69021053938323,0.08915863625723619,True
daily_mean,p97,1991_2020,0.05,5,MF,120,0.035597745476119845,0.02656544932293804,1.3400016330754412,0.009032296153181806,True
daily_mean,p97,1991_2020,0.05,7,Open Shrub,116,0.034411153960249186,0.025736561345917112,1.337053287645524,0.008674592614332073,True
daily_mean,p97,1991_2020,0.05,8,Woody Savanna,93,0.027588252743992882,0.02796060730406237,0.9866828872484686,-0.00037235456006948914,True
daily_mean,p97,1991_2020,0.05,9,Savanna,246,0.07297537822604569,0.053992613869511694,1.351580762554137,0.018982764356533996,True
daily_mean,p97,1991_2020,0.05,10,Grass,323,0.09581726490655591,0.06569552728764874,1.4585051503889868,0.03012173761890717,True
daily_mean,p97,1991_2020,0.05,11,Wetland,7,0.0020765351527736575,0.00019696347968814116,10.542742015227924,0.0018795716730855164,False
daily_mean,p97,1991_2020,0.05,12,Cropland,1578,0.468110353010976,0.1954616331555191,2.394896356148441,0.2726487198554569,True
daily_mean,p97,1991_2020,0.05,13,Urban,35,0.010382675763868289,0.007558473533032417,1.373647168107873,0.0028242022308358717,False
daily_mean,p97,1991_2020,0.05,14,Crop/Nat Mosaic,22,0.006526253337288638,0.008961838325810422,0.7282270779749274,-0.0024355849885217837,False
daily_mean,p97,1991_2020,0.05,16,Barren,379,0.11242954612874519,0.09854739433729996,1.1408677711348767,0.013882151791445224,True
daily_mean,p97,1991_2020,0.05,17,Water,61,0.01809552061702759,0.45545342634386543,0.039730781613146866,-0.43735790572683786,True
daily_mean,p97,1991_2020,0.1,1,ENF,48,0.0071195490952239695,0.008247845711940911,0.8632010519930753,-0.0011282966167169414,False
daily_mean,p97,1991_2020,0.1,4,DBF,657,0.09744882824087808,0.024160853508411982,4.033335503108354,0.0732879747324661,True
daily_mean,p97,1991_2020,0.1,5,MF,323,0.047908632453277956,0.02656544932293804,1.8034188645140312,0.021343183130339918,True
daily_mean,p97,1991_2020,0.1,7,Open Shrub,191,0.028329872441412045,0.025736561345917112,1.1007636980185131,0.0025933110954949323,True
daily_mean,p97,1991_2020,0.1,8,Woody Savanna,183,0.027143280925541382,0.02796060730406237,0.9707686471315579,-0.000817326378520989,True
daily_mean,p97,1991_2020,0.1,9,Savanna,552,0.08187481459507565,0.053992613869511694,1.5164076848168366,0.027882200725563952,True
daily_mean,p97,1991_2020,0.1,10,Grass,664,0.0984870958172649,0.06569552728764874,1.4991446127837265,0.032791568529616164,True
daily_mean,p97,1991_2020,0.1,11,Wetland,10,0.0014832393948383269,0.00019696347968814116,7.530530010877089,0.0012862759151501858,False
daily_mean,p97,1991_2020,0.1,12,Cropland,3243,0.4810145357460694,0.1954616331555191,2.4609153621639397,0.28555290259055033,True
daily_mean,p97,1991_2020,0.1,13,Urban,87,0.012904182735093445,0.007558473533032417,1.7072471946483563,0.005345709202061027,False
daily_mean,p97,1991_2020,0.1,14,Crop/Nat Mosaic,46,0.006822901216256304,0.008961838325810422,0.7613283087919696,-0.002138937109554118,False
daily_mean,p97,1991_2020,0.1,16,Barren,608,0.09018095520617028,0.09854739433729996,0.9151023810686083,-0.00836643913112968,True
daily_mean,p97,1991_2020,0.1,17,Water,130,0.01928211213289825,0.45545342634386543,0.04233607876810731,-0.43617131421096716,True
daily_mean,p99,1981_2020,0.05,1,ENF,25,0.007416196974191634,0.008247845711940911,0.8991677624927867,-0.0008316487377492765,False
daily_mean,p99,1981_2020,0.05,4,DBF,270,0.08009492732126965,0.024160853508411982,3.315070276527414,0.055934073812857664,True
daily_mean,p99,1981_2020,0.05,5,MF,225,0.06674577276772471,0.02656544932293804,2.512503062016452,0.04018032344478667,True
daily_mean,p99,1981_2020,0.05,7,Open Shrub,145,0.04301394245031148,0.025736561345917112,1.671316609556905,0.01727738110439437,True
daily_mean,p99,1981_2020,0.05,8,Woody Savanna,140,0.041530703055473156,0.02796060730406237,1.4853290775783399,0.013570095751410785,True
daily_mean,p99,1981_2020,0.05,9,Savanna,400,0.11865915158706615,0.053992613869511694,2.197692296835995,0.06466653771755446,True
daily_mean,p99,1981_2020,0.05,10,Grass,518,0.15366360130525067,0.06569552728764874,2.3390268356083443,0.08796807401760193,True
daily_mean,p99,1981_2020,0.05,11,Wetland,7,0.0020765351527736575,0.00019696347968814116,10.542742015227924,0.0018795716730855164,False
daily_mean,p99,1981_2020,0.05,12,Cropland,1542,0.45743102936814,0.1954616331555191,2.3402599373769934,0.26196939621262094,True
daily_mean,p99,1981_2020,0.05,13,Urban,19,0.005636309700385643,0.007558473533032417,0.7456941769728453,-0.0019221638326467746,False
daily_mean,p99,1981_2020,0.05,14,Crop/Nat Mosaic,22,0.006526253337288638,0.008961838325810422,0.7282270779749274,-0.0024355849885217837,False
daily_mean,p99,1981_2020,0.05,15,Snow/Ice,2,0.0005932957579353308,3.282724661469019e-05,18.073272026105016,0.0005604685113206406,False
daily_mean,p99,1981_2020,0.05,16,Barren,16,0.004746366063482646,0.09854739433729996,0.04816328321413728,-0.09380102827381731,False
daily_mean,p99,1981_2020,0.05,17,Water,40,0.011865915158706615,0.45545342634386543,0.026052971549604502,-0.4435875111851588,True
daily_mean,p99,1981_2020,0.1,1,ENF,66,0.009789380005932958,0.008247845711940911,1.1869014464904786,0.0015415342939920466,False
daily_mean,p99,1981_2020,0.1,4,DBF,492,0.07297537822604569,0.024160853508411982,3.020397363058311,0.04881452471763371,True
daily_mean,p99,1981_2020,0.1,5,MF,516,0.07653515277365767,0.02656544932293804,2.881003511112199,0.04996970345071963,True
