filename,percentile,baseline,LC_code,LC_name,count,mean,median,std
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,13,Urban,893,0.26312075803955354,0.27840232849121094,0.07132315337141083
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,14,Crop/Nat Mosaic,1072,0.20623665870125615,0.21059417724609375,0.09177428823686125
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,15,Snow/Ice,4,0.29742753505706787,0.30738019943237305,0.0423803524966879
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,16,Barren,11917,0.1849799015142478,0.17493247985839844,0.05311358454124533
p97_baseline_1981_2020_minus_1981_2010.tif,p97,1981_2020,17,Water,1722,0.223358195279395,0.22301292419433594,0.07763916297658718
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,1,ENF,991,0.3466419591432142,0.36794090270996094,0.09773256208686748
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,2,EBF,158,0.15047932878325257,0.14112091064453125,0.08980045116947954
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,4,DBF,2922,0.3615401298684832,0.35582828521728516,0.10964583580413069
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,5,MF,3237,0.3811948248586575,0.38486194610595703,0.09259139819504403
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,6,Closed Shrub,1,0.42431640625,0.42431640625,0.0
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,7,Open Shrub,3126,0.25225633302714223,0.2304401397705078,0.14458733170893612
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,8,Woody Savanna,3350,0.2863338746597518,0.2899599075317383,0.12817849184822708
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,9,Savanna,6465,0.3092361885359927,0.3172607421875,0.13234153915105232
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,10,Grass,7890,0.3463592771341592,0.3463859558105469,0.12324654743828094
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,11,Wetland,20,0.4654134750366211,0.4501171112060547,0.0953998882683683
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,12,Cropland,23648,0.3567775729867215,0.3543567657470703,0.1167849576227392
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,13,Urban,893,0.37057412992265965,0.39298248291015625,0.10337557976153548
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,14,Crop/Nat Mosaic,1072,0.2329875177411891,0.23999691009521484,0.1485952765520984
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,15,Snow/Ice,4,0.4319421052932739,0.44114232063293457,0.04215430330322692
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,16,Barren,11917,0.3170796616761449,0.304656982421875,0.10223607222838792
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,17,Water,1722,0.3191715577199761,0.3149271011352539,0.12709159905226666
p99_baseline_1981_2020_minus_1981_2010.tif,p99,1981_2020,1,ENF,991,0.2704590528932758,0.29189491271972656,0.08548661410129117
p99_baseline_1981_2020_minus_1981_2010.tif,p99,1981_2020,2,EBF,158,0.1472341199464436,0.14072513580322266,0.05541782973880485
p99_baseline_1981_2020_minus_1981_2010.tif,p99,1981_2020,4,DBF,2922,0.2781066378855199,0.2742133140563965,0.09002250055650868
p99_baseline_1981_2020_minus_1981_2010.tif,p99,1981_2020,5,MF,3237,0.3037933398810367,0.3072681427001953,0.06873727604855578
