zone,ref_mean,n_ref,diff_mean,n_diff,distortion_ratio,metric,percentile,data_type,ref_baseline,alt_baseline
4,8.18992249433473,11709,-1.4028703235167905,11709,-0.1712922585988188,hw_magnitude_index,p95,daily_maximum,1981_2010,1991_2020
5,8.070371254186592,1666,-1.158668553213827,1666,-0.14357066301962856,hw_magnitude_index,p95,daily_maximum,1981_2010,1991_2020
6,8.957121267881536,1365,-2.025942624642881,1365,-0.22618233713611613,hw_magnitude_index,p95,daily_maximum,1981_2010,1991_2020
7,9.29267281934846,8048,-2.454709929272924,8048,-0.26415542377865375,hw_magnitude_index,p95,daily_maximum,1981_2010,1991_2020
8,8.141969921412468,10060,-1.7053055855662769,10060,-0.20944631335311756,hw_magnitude_index,p95,daily_maximum,1981_2010,1991_2020
9,9.287049405625181,1956,-1.9699559859269533,1956,-0.212118607080152,hw_magnitude_index,p95,daily_maximum,1981_2010,1991_2020
14,8.890898411150555,4755,-2.276957934743153,4755,-0.25609987055149547,hw_magnitude_index,p95,daily_maximum,1981_2010,1991_2020
15,8.993585415085455,11130,-2.26540028198353,11130,-0.2518906726192579,hw_magnitude_index,p95,daily_maximum,1981_2010,1991_2020
17,11.089726829165919,73,-3.4429175792037987,73,-0.31046008879536546,hw_magnitude_index,p95,daily_maximum,1981_2010,1991_2020
18,9.978106430776325,900,-2.712505013030252,900,-0.27184566822672734,hw_magnitude_index,p95,daily_maximum,1981_2010,1991_2020
25,10.764260323328092,2761,-3.5360643971848575,2761,-0.3285004531371806,hw_magnitude_index,p95,daily_maximum,1981_2010,1991_2020
26,10.019538364594148,13804,-2.9860136680772538,13804,-0.2980190859539679,hw_magnitude_index,p95,daily_maximum,1981_2010,1991_2020
27,9.793041580095833,785,-2.6351195171114745,785,-0.2690808052706011,hw_magnitude_index,p95,daily_maximum,1981_2010,1991_2020
29,9.318005267761269,233,-2.535860017435177,233,-0.2721462310702231,hw_magnitude_index,p95,daily_maximum,1981_2010,1991_2020
0,0.012288431666665081,59148,-0.006617514238654002,59148,-0.5385153315741708,hw_magnitude_index,p99,daily_maximum,1981_2010,1991_2020
4,1.3059478319856073,11709,-0.40193443187751593,11709,-0.3077721934640217,hw_magnitude_index,p99,daily_maximum,1981_2010,1991_2020
5,1.6623812000386091,1666,-0.3810063280581601,1666,-0.22919311512749302,hw_magnitude_index,p99,daily_maximum,1981_2010,1991_2020
6,1.782650484373087,1365,-0.7265347774134547,1365,-0.40755873330568854,hw_magnitude_index,p99,daily_maximum,1981_2010,1991_2020
7,2.147208149167963,8048,-0.8791576690091343,8048,-0.4094422169808657,hw_magnitude_index,p99,daily_maximum,1981_2010,1991_2020
8,1.810432004531488,10060,-0.6263346474845335,10060,-0.34595866757615823,hw_magnitude_index,p99,daily_maximum,1981_2010,1991_2020
9,2.0793099422667196,1956,-0.720656734660278,1956,-0.34658456468919796,hw_magnitude_index,p99,daily_maximum,1981_2010,1991_2020
14,1.5919151696268539,4755,-0.6568069607716518,4755,-0.41258916880584545,hw_magnitude_index,p99,daily_maximum,1981_2010,1991_2020
15,1.861771811349813,11130,-0.8799146745494588,11130,-0.4726221894966201,hw_magnitude_index,p99,daily_maximum,1981_2010,1991_2020
17,3.0206190933738486,73,-1.6441924745452277,73,-0.5443230073956575,hw_magnitude_index,p99,daily_maximum,1981_2010,1991_2020
18,2.5672245533230864,900,-1.0750624091360304,900,-0.4187644604585895,hw_magnitude_index,p99,daily_maximum,1981_2010,1991_2020
25,1.8875479488940041,2761,-0.985097475603383,2761,-0.5218926867323648,hw_magnitude_index,p99,daily_maximum,1981_2010,1991_2020
26,1.8202014383995018,13804,-0.9382121566034046,13804,-0.5154441325317987,hw_magnitude_index,p99,daily_maximum,1981_2010,1991_2020
27,2.202440392091944,785,-0.9581983055126895,785,-0.4350620814086792,hw_magnitude_index,p99,daily_maximum,1981_2010,1991_2020
29,2.26479701154506,233,-1.1450664517847653,233,-0.5055934111939061,hw_magnitude_index,p99,daily_maximum,1981_2010,1991_2020
