koppen_zone,metric,percentile,daily_statistic,deltaB_mean,deltaB_median,deltaB_std,n_pixel
0,hw_magnitude_index,p90,daily_mean,-0.03967275043037036,0.0,0.449467637449134,59148
4,hw_magnitude_index,p90,daily_mean,-2.4099310140748837,-2.4234636730617947,0.711101041827917,11709
5,hw_magnitude_index,p90,daily_mean,-1.7113261595430003,-1.4733153873019749,0.8922453497694347,1666
6,hw_magnitude_index,p90,daily_mean,-2.7881653077028896,-2.77464434305827,1.5837079028801289,1365
7,hw_magnitude_index,p90,daily_mean,-3.252217322042154,-3.320392772886488,1.4064038972070125,8048
8,hw_magnitude_index,p90,daily_mean,-2.6144855493537857,-2.718761645423041,1.4378484542583165,10060
9,hw_magnitude_index,p90,daily_mean,-2.356747824850204,-2.3380611631605372,1.0482215443726322,1956
14,hw_magnitude_index,p90,daily_mean,-3.4131257641762547,-3.4312110582987483,1.12403019780307,4755
15,hw_magnitude_index,p90,daily_mean,-2.783909057083453,-2.976752609676784,1.1507111380394148,11130
17,hw_magnitude_index,p90,daily_mean,-4.273608699571369,-3.970989896191492,1.0637469531469428,73
18,hw_magnitude_index,p90,daily_mean,-3.3454969998354347,-3.2726440876722345,0.7741034280614214,900
25,hw_magnitude_index,p90,daily_mean,-4.494082184765506,-4.5025198671552875,0.9953994521744512,2761
26,hw_magnitude_index,p90,daily_mean,-4.01959134125758,-4.029849653773837,0.6939106736466336,13804
27,hw_magnitude_index,p90,daily_mean,-3.6548238687481405,-3.6914280888107083,0.8288412619581418,785
29,hw_magnitude_index,p90,daily_mean,-3.3150351030468714,-3.2152771963013542,0.7520223216459191,233
0,hw_magnitude_index,p95,daily_mean,-0.02450447726215477,0.0,0.276694060386163,59148
4,hw_magnitude_index,p95,daily_mean,-1.6515082096372762,-1.6102365281846787,0.5033719689174471,11709
5,hw_magnitude_index,p95,daily_mean,-1.007798654034215,-0.8801892280578612,0.6804999179581209,1666
6,hw_magnitude_index,p95,daily_mean,-2.0239236008330095,-2.0956222110324436,1.1341901701958252,1365
7,hw_magnitude_index,p95,daily_mean,-2.2241025196824094,-2.2297649754418263,1.058807197229981,8048
8,hw_magnitude_index,p95,daily_mean,-1.7089561668241788,-1.807303259107802,0.9872291468780842,10060
9,hw_magnitude_index,p95,daily_mean,-1.5895266129709973,-1.650697882970174,0.8202892104729381,1956
14,hw_magnitude_index,p95,daily_mean,-2.24641456383051,-2.2126792165968148,0.8077427079141036,4755
15,hw_magnitude_index,p95,daily_mean,-1.989115673119887,-2.1121109167734784,0.8373860466298935,11130
17,hw_magnitude_index,p95,daily_mean,-2.9376818315147264,-2.795214646392399,0.6001547803654868,73
18,hw_magnitude_index,p95,daily_mean,-2.3593933247704015,-2.3560546259499255,0.5196621860798514,900
25,hw_magnitude_index,p95,daily_mean,-2.9773052776769884,-3.0843510097927505,0.7901669562976881,2761
26,hw_magnitude_index,p95,daily_mean,-2.6101870255498962,-2.5939862039354113,0.4921157027135988,13804
27,hw_magnitude_index,p95,daily_mean,-2.522800335499596,-2.4916785624292155,0.6259375374847844,785
29,hw_magnitude_index,p95,daily_mean,-2.244386912452418,-2.1626041756735903,0.46538222934765866,233
0,hw_magnitude_index,p99,daily_mean,-0.007851434009614747,0.0,0.09021574171592461,59148
4,hw_magnitude_index,p99,daily_mean,-0.5941463877228261,-0.5467099931504991,0.3287264576902556,11709
5,hw_magnitude_index,p99,daily_mean,-0.35366766199964483,-0.28557287851969393,0.37190152609879723,1666
6,hw_magnitude_index,p99,daily_mean,-0.8109532612826603,-0.7871509975857205,0.48666337914534175,1365
7,hw_magnitude_index,p99,daily_mean,-0.7996385799289271,-0.7375767495897081,0.5049839158569085,8048
8,hw_magnitude_index,p99,daily_mean,-0.655624478565875,-0.6638655874464247,0.46346175488517594,10060
9,hw_magnitude_index,p99,daily_mean,-0.6547687127139995,-0.6401881853739421,0.46088662143565284,1956
14,hw_magnitude_index,p99,daily_mean,-0.7560807779857885,-0.7135477066040039,0.3683723427775511,4755
15,hw_magnitude_index,p99,daily_mean,-0.7680339159059991,-0.7849214076995848,0.42376983356309184,11130
17,hw_magnitude_index,p99,daily_mean,-1.1339420012596717,-1.110048261615965,0.21415453843993595,73
18,hw_magnitude_index,p99,daily_mean,-0.8113380459482654,-0.7718903223673503,0.31776438342286345,900
25,hw_magnitude_index,p99,daily_mean,-1.0074090104174283,-1.0295863151550295,0.3622466422922579,2761
26,hw_magnitude_index,p99,daily_mean,-0.9758772129836258,-0.9668756352530586,0.2931723024630276,13804
27,hw_magnitude_index,p99,daily_mean,-1.1625229055073274,-1.1603151268429226,0.3892337908798043,785
29,hw_magnitude_index,p99,daily_mean,-1.2376938560532567,-1.1822288013166853,0.3685430020389255,233
