daily_statistic,percentile,baseline_A,baseline_B,LC_code,LC_name,count,mean,median,std
daily_maximum,p95,1991_2020,1981_2010,10,Grass,7890,0.4177289650920679,0.425689697265625,0.14011154889415167
daily_maximum,p95,1991_2020,1981_2010,11,Wetland,20,0.5788392066955567,0.5787544250488281,0.1193419564522864
daily_maximum,p95,1991_2020,1981_2010,12,Cropland,23648,0.48122641258697874,0.4983940124511719,0.14826454838776126
daily_maximum,p95,1991_2020,1981_2010,13,Urban,893,0.47925571044375087,0.4965953826904297,0.1207598268848912
daily_maximum,p95,1991_2020,1981_2010,14,Crop/Nat Mosaic,1072,0.33831418005388175,0.32733726501464844,0.13500591691746758
daily_maximum,p95,1991_2020,1981_2010,15,Snow/Ice,4,0.4060441255569458,0.40784502029418945,0.07809522255331947
daily_maximum,p95,1991_2020,1981_2010,16,Barren,11917,0.29238869534289463,0.2733192443847656,0.08839462991916833
daily_maximum,p95,1991_2020,1981_2010,17,Water,1722,0.38040766068036547,0.37806129455566406,0.1448409051005645
daily_maximum,p97,1981_2020,1981_2010,1,ENF,991,0.2877079408416594,0.30966758728027344,0.09960187575014298
daily_maximum,p97,1981_2020,1981_2010,2,EBF,158,0.1451413601259642,0.14033985137939453,0.09227216015726612
daily_maximum,p97,1981_2020,1981_2010,4,DBF,2922,0.3145165887293466,0.32463932037353516,0.10299309774533731
daily_maximum,p97,1981_2020,1981_2010,5,MF,3237,0.34023352585569516,0.3470458984375,0.07399558388909934
daily_maximum,p97,1981_2020,1981_2010,6,Closed Shrub,1,0.4825763702392578,0.4825763702392578,0.0
daily_maximum,p97,1981_2020,1981_2010,7,Open Shrub,3126,0.203481096376308,0.18105316162109375,0.12732072136031722
daily_maximum,p97,1981_2020,1981_2010,8,Woody Savanna,3350,0.26559064580433406,0.2633934020996094,0.10066434581634394
daily_maximum,p97,1981_2020,1981_2010,9,Savanna,6465,0.2822718834932332,0.28966522216796875,0.1081002136427579
daily_maximum,p97,1981_2020,1981_2010,10,Grass,7890,0.27226427359877126,0.27243900299072266,0.11038601139563163
daily_maximum,p97,1981_2020,1981_2010,11,Wetland,20,0.3616008758544922,0.3458366394042969,0.0763035001612898
daily_maximum,p97,1981_2020,1981_2010,12,Cropland,23648,0.3029149886881063,0.31660938262939453,0.10789435224483823
daily_maximum,p97,1981_2020,1981_2010,13,Urban,893,0.3095216462753655,0.3247642517089844,0.09019000198763115
daily_maximum,p97,1981_2020,1981_2010,14,Crop/Nat Mosaic,1072,0.24845814349046394,0.2348775863647461,0.0816730210248421
daily_maximum,p97,1981_2020,1981_2010,15,Snow/Ice,4,0.3359013795852661,0.31522321701049805,0.044133922453391455
daily_maximum,p97,1981_2020,1981_2010,16,Barren,11917,0.15421513918112956,0.1500244140625,0.0570125802182758
daily_maximum,p97,1981_2020,1981_2010,17,Water,1722,0.23660382604211327,0.233062744140625,0.09759518461230272
daily_maximum,p97,1991_2020,1981_2010,1,ENF,991,0.41987845731671714,0.44795799255371094,0.12828095076947785
daily_maximum,p97,1991_2020,1981_2010,2,EBF,158,0.1821412919442865,0.17173385620117188,0.11462812354835655
daily_maximum,p97,1991_2020,1981_2010,4,DBF,2922,0.4584890534664,0.4552574157714844,0.13142725381666387
daily_maximum,p97,1991_2020,1981_2010,5,MF,3237,0.48315533097968044,0.4931068420410156,0.10079744618566258
daily_maximum,p97,1991_2020,1981_2010,6,Closed Shrub,1,0.6248664855957031,0.6248664855957031,0.0
daily_maximum,p97,1991_2020,1981_2010,7,Open Shrub,3126,0.29216655369988637,0.24840354919433594,0.16758428240567894
daily_maximum,p97,1991_2020,1981_2010,8,Woody Savanna,3350,0.3730281542308295,0.36811256408691406,0.14108667774576905
daily_maximum,p97,1991_2020,1981_2010,9,Savanna,6465,0.3954400212287165,0.3864612579345703,0.149748257450617
daily_maximum,p97,1991_2020,1981_2010,10,Grass,7890,0.41092744888914856,0.4173564910888672,0.14466073746414293
daily_maximum,p97,1991_2020,1981_2010,11,Wetland,20,0.5686209678649903,0.549102783203125,0.1239437466748392
daily_maximum,p97,1991_2020,1981_2010,12,Cropland,23648,0.45737460126573565,0.46919822692871094,0.14649584680498504
daily_maximum,p97,1991_2020,1981_2010,13,Urban,893,0.46313519493863403,0.4783649444580078,0.11963411309428416
daily_maximum,p97,1991_2020,1981_2010,14,Crop/Nat Mosaic,1072,0.33049651757994697,0.31145381927490234,0.1336305847268426
daily_maximum,p97,1991_2020,1981_2010,15,Snow/Ice,4,0.41378724575042725,0.4002652168273926,0.07067817213990248
daily_maximum,p97,1991_2020,1981_2010,16,Barren,11917,0.29163058768225425,0.2748432159423828,0.09044635736121405
daily_maximum,p97,1991_2020,1981_2010,17,Water,1722,0.3686565023681428,0.36653709411621094,0.1452331347827538
