daily_statistic,percentile,baseline_A,baseline_B,LC_code,LC_name,count,mean,median,std
daily_mean,p97,1991_2020,1981_2010,1,ENF,991,0.3603054165960441,0.37348461151123047,0.09887274490095005
daily_mean,p97,1991_2020,1981_2010,2,EBF,158,0.17000066781345802,0.16266250610351562,0.10322885391733992
daily_mean,p97,1991_2020,1981_2010,4,DBF,2922,0.4145681719352414,0.42290163040161133,0.10227267897455479
daily_mean,p97,1991_2020,1981_2010,5,MF,3237,0.42474314619222836,0.4343299865722656,0.07431483492495108
daily_mean,p97,1991_2020,1981_2010,6,Closed Shrub,1,0.48678016662597656,0.48678016662597656,0.0
daily_mean,p97,1991_2020,1981_2010,7,Open Shrub,3126,0.27228400864360125,0.2455606460571289,0.1286811399198519
daily_mean,p97,1991_2020,1981_2010,8,Woody Savanna,3350,0.32134899239041914,0.3368983268737793,0.12852603604209287
daily_mean,p97,1991_2020,1981_2010,9,Savanna,6465,0.338658486459943,0.35009193420410156,0.12528390641531736
daily_mean,p97,1991_2020,1981_2010,10,Grass,7890,0.35443777874848686,0.35860157012939453,0.10925748502125159
daily_mean,p97,1991_2020,1981_2010,11,Wetland,20,0.4985970973968506,0.4937000274658203,0.08159721487184293
daily_mean,p97,1991_2020,1981_2010,12,Cropland,23648,0.3873740870994547,0.40662240982055664,0.11291399127898108
daily_mean,p97,1991_2020,1981_2010,13,Urban,893,0.3956018460691309,0.4226722717285156,0.10329268786252406
daily_mean,p97,1991_2020,1981_2010,14,Crop/Nat Mosaic,1072,0.26917730249575716,0.2786874771118164,0.14269031445650684
daily_mean,p97,1991_2020,1981_2010,15,Snow/Ice,4,0.37728652358055115,0.4059891700744629,0.07952142542466507
daily_mean,p97,1991_2020,1981_2010,16,Barren,11917,0.33193009392051,0.32878684997558594,0.09220866351260161
daily_mean,p97,1991_2020,1981_2010,17,Water,1722,0.34368728788333763,0.3389396667480469,0.11843608938968096
daily_mean,p99,1981_2020,1981_2010,1,ENF,991,0.27045954079729034,0.2918891906738281,0.08548653649680965
daily_mean,p99,1981_2020,1981_2010,2,EBF,158,0.14723459074768838,0.14072799682617188,0.05541786970640423
daily_mean,p99,1981_2020,1981_2010,4,DBF,2922,0.2781072256909422,0.2742128372192383,0.09002252089019387
daily_mean,p99,1981_2020,1981_2010,5,MF,3237,0.30379394340338367,0.30727291107177734,0.06873731099633659
daily_mean,p99,1981_2020,1981_2010,6,Closed Shrub,1,0.362579345703125,0.362579345703125,0.0
