filename,percentile,baseline,LC_code,LC_name,count,mean,median,std
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,7,Open Shrub,3126,0.2590312317099544,0.22215843200683594,0.1801912503314309
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,8,Woody Savanna,3350,0.3216278782175548,0.3107566833496094,0.13883490132499446
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,9,Savanna,6465,0.3611173234424753,0.3624095916748047,0.1570951508521238
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,10,Grass,7890,0.40082317716117444,0.40816164016723633,0.15347996127276597
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,11,Wetland,20,0.5240969657897949,0.4880819320678711,0.1549756352293294
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,12,Cropland,23648,0.4129222912136692,0.4306344985961914,0.1477588947945244
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,13,Urban,893,0.4357681445285161,0.44322967529296875,0.1377023896659249
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,14,Crop/Nat Mosaic,1072,0.31788667102358237,0.3016500473022461,0.1272224050692604
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,15,Snow/Ice,4,0.48445987701416016,0.49235963821411133,0.0901930769915017
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,16,Barren,11917,0.26525392277864757,0.2519569396972656,0.09776008819331285
p99_baseline_1991_2020_minus_1981_2010.tif,p99,1991_2020,17,Water,1722,0.3357207678197845,0.3396596908569336,0.14556360157713638
p99_baseline_1981_2020_minus_1981_2010.tif,p99,1981_2020,1,ENF,991,0.29621091259476157,0.3144035339355469,0.10199569748206
p99_baseline_1981_2020_minus_1981_2010.tif,p99,1981_2020,2,EBF,158,0.17879343636428255,0.1804370880126953,0.10734208221567593
p99_baseline_1981_2020_minus_1981_2010.tif,p99,1981_2020,4,DBF,2922,0.28679038073247953,0.293609619140625,0.10767276640911706
p99_baseline_1981_2020_minus_1981_2010.tif,p99,1981_2020,5,MF,3237,0.34045701502722503,0.3443775177001953,0.08748950957866401
p99_baseline_1981_2020_minus_1981_2010.tif,p99,1981_2020,6,Closed Shrub,1,0.48472023010253906,0.48472023010253906,0.0
p99_baseline_1981_2020_minus_1981_2010.tif,p99,1981_2020,7,Open Shrub,3126,0.2055106220989752,0.18331146240234375,0.14414470365197876
p99_baseline_1981_2020_minus_1981_2010.tif,p99,1981_2020,8,Woody Savanna,3350,0.262353661380597,0.2575998306274414,0.10476957804552117
p99_baseline_1981_2020_minus_1981_2010.tif,p99,1981_2020,9,Savanna,6465,0.29285260456436285,0.29762840270996094,0.12412141275271123
p99_baseline_1981_2020_minus_1981_2010.tif,p99,1981_2020,10,Grass,7890,0.2954256266242198,0.29960155487060547,0.12583232909070066
p99_baseline_1981_2020_minus_1981_2010.tif,p99,1981_2020,11,Wetland,20,0.35668020248413085,0.31050777435302734,0.11577998521570253
p99_baseline_1981_2020_minus_1981_2010.tif,p99,1981_2020,12,Cropland,23648,0.30226502826636475,0.3156862258911133,0.12081538913333806
p99_baseline_1981_2020_minus_1981_2010.tif,p99,1981_2020,13,Urban,893,0.3196822633134558,0.3345508575439453,0.10443740821206526
p99_baseline_1981_2020_minus_1981_2010.tif,p99,1981_2020,14,Crop/Nat Mosaic,1072,0.27029229455919407,0.2687406539916992,0.09329520088095164
p99_baseline_1981_2020_minus_1981_2010.tif,p99,1981_2020,15,Snow/Ice,4,0.4308847188949585,0.4291367530822754,0.04146434662782623
p99_baseline_1981_2020_minus_1981_2010.tif,p99,1981_2020,16,Barren,11917,0.1442968272578649,0.14443588256835938,0.06995463197449255
p99_baseline_1981_2020_minus_1981_2010.tif,p99,1981_2020,17,Water,1722,0.23502090445240478,0.24286556243896484,0.10262118485554239
