daily_stat,percentile,baseline,top_frac,LC_code,LC_name,count_hot,fraction_hotspot,fraction_global,enrichment_ratio,difference,reliable
daily_maximum,p95,1991_2020,0.1,5,MF,280,0.04152454397152603,0.02656544932293804,1.5631033929349543,0.014959094648587992,True
daily_maximum,p95,1991_2020,0.1,6,Closed Shrub,1,0.00014830194275545008,8.206811653672548e-06,18.070591724751594,0.00014009513110177754,False
daily_maximum,p95,1991_2020,0.1,7,Open Shrub,125,0.01853774284443126,0.025736561345917112,0.7202882543348051,-0.007198818501485852,True
daily_maximum,p95,1991_2020,0.1,8,Woody Savanna,250,0.03707548568886252,0.02796060730406237,1.325990000348664,0.00911487838480015,True
daily_maximum,p95,1991_2020,0.1,9,Savanna,526,0.07800682188936675,0.053992613869511694,1.444768391430208,0.024014208019855057,True
daily_maximum,p95,1991_2020,0.1,10,Grass,565,0.08379059765682931,0.06569552728764874,1.275438391565853,0.018095070369180566,True
daily_maximum,p95,1991_2020,0.1,11,Wetland,6,0.0008898116565327006,0.00019696347968814116,4.5176479311878985,0.0006928481768445594,False
daily_maximum,p95,1991_2020,0.1,12,Cropland,4224,0.6264274061990212,0.1954616331555191,3.204861210284701,0.43096577304350203,True
daily_maximum,p95,1991_2020,0.1,13,Urban,78,0.011567551534925108,0.007558473533032417,1.5304084196858028,0.004009078001892691,False
daily_maximum,p95,1991_2020,0.1,14,Crop/Nat Mosaic,30,0.0044490582826635025,0.008961838325810422,0.4964448276030658,-0.004512780043146919,False
daily_maximum,p95,1991_2020,0.1,16,Barren,11,0.0016313213703099511,0.09854739433729996,0.01655367329882308,-0.09691607296699001,False
daily_maximum,p95,1991_2020,0.1,17,Water,70,0.010381135992881508,0.45545342634386543,0.0227929693628955,-0.44507229035098395,True
daily_maximum,p97,1981_2020,0.05,1,ENF,19,0.005636309700385643,0.008247845711940911,0.6833674994945179,-0.0026115360115552683,False
daily_maximum,p97,1981_2020,0.05,4,DBF,318,0.09433402551171759,0.024160853508411982,3.904416103465621,0.07017317200330561,True
daily_maximum,p97,1981_2020,0.05,5,MF,209,0.06199940670424207,0.02656544932293804,2.3338361776063934,0.03543395738130403,True
daily_maximum,p97,1981_2020,0.05,6,Closed Shrub,1,0.0002966478789676654,8.206811653672548e-06,36.14654405221003,0.0002884410673139928,False
daily_maximum,p97,1981_2020,0.05,7,Open Shrub,215,0.06377929397804806,0.025736561345917112,2.478159110722307,0.03804273263213095,True
daily_maximum,p97,1981_2020,0.05,8,Woody Savanna,116,0.034411153960249186,0.02796060730406237,1.2307012357077673,0.006450546656186815,True
daily_maximum,p97,1981_2020,0.05,9,Savanna,329,0.09759715218036191,0.053992613869511694,1.8076019141476058,0.04360453831085022,True
daily_maximum,p97,1981_2020,0.05,10,Grass,452,0.13408484129338474,0.06569552728764874,2.041004111380254,0.068389314005736,True
daily_maximum,p97,1981_2020,0.05,11,Wetland,5,0.0014832393948383269,0.00019696347968814116,7.530530010877089,0.0012862759151501858,False
daily_maximum,p97,1981_2020,0.05,12,Cropland,1613,0.4784930287748443,0.1954616331555191,2.4480150966206815,0.2830313956193252,True
daily_maximum,p97,1981_2020,0.05,13,Urban,22,0.006526253337288638,0.007558473533032417,0.8634353628106629,-0.0010322201957437792,False
daily_maximum,p97,1981_2020,0.05,14,Crop/Nat Mosaic,25,0.007416196974191634,0.008961838325810422,0.8275307704260538,-0.0015456413516187874,False
daily_maximum,p97,1981_2020,0.05,16,Barren,4,0.0011865915158706616,0.09854739433729996,0.01204082080353432,-0.0973608028214293,False
daily_maximum,p97,1981_2020,0.05,17,Water,43,0.012755858795609611,0.45545342634386543,0.02800694441582484,-0.44269756754825584,True
daily_maximum,p97,1981_2020,0.1,1,ENF,68,0.010086027884900622,0.008247845711940911,1.2228681569901898,0.0018381821729597115,False
daily_maximum,p97,1981_2020,0.1,4,DBF,614,0.09107089884307328,0.024160853508411982,3.7693576847922823,0.0669100453346613,True
daily_maximum,p97,1981_2020,0.1,5,MF,504,0.07475526549985168,0.02656544932293804,2.8140034294584266,0.04818981617691363,True
daily_maximum,p97,1981_2020,0.1,6,Closed Shrub,1,0.0001483239394838327,8.206811653672548e-06,18.073272026105016,0.00014011712783016015,False
daily_maximum,p97,1981_2020,0.1,7,Open Shrub,283,0.04197567487392465,0.025736561345917112,1.6309744844986347,0.01623911352800754,True
daily_maximum,p97,1981_2020,0.1,8,Woody Savanna,226,0.033521210323346186,0.02796060730406237,1.1988727554739456,0.005560603019283815,True
daily_maximum,p97,1981_2020,0.1,9,Savanna,705,0.10456837733610205,0.053992613869511694,1.9367163365867206,0.05057576346659036,True
daily_maximum,p97,1981_2020,0.1,10,Grass,822,0.12192227825571048,0.06569552728764874,1.8558687826931073,0.056226750968061734,True
daily_maximum,p97,1981_2020,0.1,11,Wetland,5,0.0007416196974191634,0.00019696347968814116,3.7652650054385446,0.0005446562177310223,False
daily_maximum,p97,1981_2020,0.1,12,Cropland,3296,0.48887570453871254,0.1954616331555191,2.501133837092922,0.2934140713831934,True
daily_maximum,p97,1981_2020,0.1,13,Urban,100,0.014832393948383269,0.007558473533032417,1.9623530972969612,0.0072739204153508515,False
daily_maximum,p97,1981_2020,0.1,14,Crop/Nat Mosaic,48,0.0071195490952239695,0.008961838325810422,0.7944295396090117,-0.0018422892305864523,False
daily_maximum,p97,1981_2020,0.1,15,Snow/Ice,1,0.0001483239394838327,3.282724661469019e-05,4.518318006526254,0.0001154966928691425,False
daily_maximum,p97,1981_2020,0.1,16,Barren,7,0.0010382675763868287,0.09854739433729996,0.010535718203092528,-0.09750912676091314,False
daily_maximum,p97,1981_2020,0.1,17,Water,62,0.009196084247997626,0.45545342634386543,0.020191052950943488,-0.4462573420958678,True
daily_maximum,p97,1991_2020,0.05,1,ENF,10,0.0029664787896766538,0.008247845711940911,0.3596671049971147,-0.005281366922264257,False
daily_maximum,p97,1991_2020,0.05,4,DBF,258,0.07653515277365767,0.024160853508411982,3.1677338197928626,0.05237429926524569,True
daily_maximum,p97,1991_2020,0.05,5,MF,146,0.04331059032927915,0.02656544932293804,1.630335320241787,0.01674514100634111,True
daily_maximum,p97,1991_2020,0.05,7,Open Shrub,144,0.042717294571343815,0.025736561345917112,1.6597902881116848,0.016980733225426703,True
daily_maximum,p97,1991_2020,0.05,8,Woody Savanna,93,0.027588252743992882,0.02796060730406237,0.9866828872484686,-0.00037235456006948914,True
daily_maximum,p97,1991_2020,0.05,9,Savanna,292,0.0866211806585583,0.053992613869511694,1.6043153766902765,0.032628566789046604,True
daily_maximum,p97,1991_2020,0.05,10,Grass,421,0.12488875704538713,0.06569552728764874,1.9010237409094846,0.059193229757738386,True
daily_maximum,p97,1991_2020,0.05,11,Wetland,6,0.0017798872738059924,0.00019696347968814116,9.036636013052508,0.0015829237941178513,False
daily_maximum,p97,1991_2020,0.05,12,Cropland,1891,0.5609611391278553,0.1954616331555191,2.8699296638001917,0.36549950597233616,True
daily_maximum,p97,1991_2020,0.05,13,Urban,24,0.0071195490952239695,0.007558473533032417,0.9419294867025414,-0.00043892443780844774,False
daily_maximum,p97,1991_2020,0.05,14,Crop/Nat Mosaic,17,0.005043013942450311,0.008961838325810422,0.5627209238897165,-0.003918824383360111,False
daily_maximum,p97,1991_2020,0.05,16,Barren,14,0.004153070305547315,0.09854739433729996,0.042142872812370114,-0.09439432403175264,False
daily_maximum,p97,1991_2020,0.05,17,Water,55,0.016315633343221597,0.45545342634386543,0.03582283588070619,-0.4391377930006438,True
daily_maximum,p97,1991_2020,0.1,1,ENF,44,0.006526253337288638,0.008247845711940911,0.7912676309936523,-0.0017215923746522728,False
