percentile,baseline,LC_code,LC_name,Elevation,count,mean,median,std
p97,1981_2020,9,Savanna,1500_2000,20,0.2979763984680176,0.27237892150878906,0.12376410054069148
p97,1981_2020,9,Savanna,2000_2500,1,0.3345603942871094,0.3345603942871094,0.0
p97,1981_2020,10,Grass,0_500,2158,0.253159861524863,0.2498617172241211,0.11388521605066505
p97,1981_2020,10,Grass,500_1000,2042,0.2656654615710461,0.2781982421875,0.11897270538923505
p97,1981_2020,10,Grass,1000_1500,1998,0.28435146200048317,0.28449058532714844,0.11277737854960664
p97,1981_2020,10,Grass,1500_2000,1126,0.2859212975307214,0.279937744140625,0.08713388447137556
p97,1981_2020,10,Grass,2000_2500,452,0.30085406894177463,0.3075995445251465,0.0790165277067076
p97,1981_2020,10,Grass,2500_3500,97,0.28658749885165813,0.287412166595459,0.07851274346949381
p97,1981_2020,11,Wetland,0_500,11,0.32272668318314984,0.3194732666015625,0.06031342274910128
p97,1981_2020,11,Wetland,500_1000,1,0.3796424865722656,0.3796424865722656,0.0
p97,1981_2020,12,Cropland,0_500,19968,0.310304962289639,0.32208824157714844,0.10130678001827391
p97,1981_2020,12,Cropland,500_1000,2714,0.2713275236862059,0.29335784912109375,0.1380320385833948
p97,1981_2020,12,Cropland,1000_1500,809,0.228035017940111,0.21085739135742188,0.10423469707727508
p97,1981_2020,12,Cropland,1500_2000,42,0.31808358147030785,0.33677005767822266,0.09482801134155654
p97,1981_2020,12,Cropland,2000_2500,2,0.2914400100708008,0.2914400100708008,0.06510448455810547
p97,1981_2020,13,Urban,0_500,825,0.31242907206217446,0.32953643798828125,0.08927698383912894
p97,1981_2020,13,Urban,500_1000,56,0.28012864930289133,0.2707386016845703,0.09432244528322974
p97,1981_2020,13,Urban,1000_1500,6,0.20805835723876953,0.1845541000366211,0.10757707467949874
p97,1981_2020,14,Crop/Nat Mosaic,0_500,996,0.24723851920131698,0.23415756225585938,0.07972387864145529
p97,1981_2020,14,Crop/Nat Mosaic,500_1000,72,0.2587989966074626,0.2397174835205078,0.10196807978092659
p97,1981_2020,14,Crop/Nat Mosaic,1000_1500,4,0.36665868759155273,0.3602895736694336,0.04062502424784911
p97,1981_2020,15,Snow/Ice,2000_2500,1,0.32613658905029297,0.32613658905029297,0.0
p97,1981_2020,15,Snow/Ice,2500_3500,3,0.3391585350036621,0.30431365966796875,0.05054369296935339
p97,1981_2020,16,Barren,0_500,6734,0.14619662338950212,0.14242935180664062,0.046489251274623916
p97,1981_2020,16,Barren,500_1000,3864,0.16106073703331483,0.15135765075683594,0.06734692316823583
p97,1981_2020,16,Barren,1000_1500,989,0.16301875215690467,0.17662429809570312,0.05648602193600945
p97,1981_2020,16,Barren,1500_2000,63,0.21464005727616567,0.22445297241210938,0.04764435081685154
p97,1981_2020,16,Barren,2000_2500,25,0.25208904266357424,0.24021148681640625,0.049584375735233444
p97,1981_2020,16,Barren,2500_3500,34,0.33839894743526683,0.3196525573730469,0.08199317276753504
p97,1981_2020,17,Water,0_500,1532,0.23463273733153978,0.23192501068115234,0.09801772041146238
p97,1981_2020,17,Water,500_1000,43,0.21841408485590025,0.21822166442871094,0.07760375576293412
p97,1981_2020,17,Water,1000_1500,9,0.2035149468315972,0.20532989501953125,0.016990743415993995
p97,1991_2020,1,ENF,0_500,373,0.41845143192894657,0.4530658721923828,0.12399339439236243
p97,1991_2020,1,ENF,500_1000,259,0.3790560689211812,0.4182300567626953,0.11940411541446176
p97,1991_2020,1,ENF,1000_1500,251,0.45211468654799747,0.4838066101074219,0.13929019770486162
p97,1991_2020,1,ENF,1500_2000,108,0.44778574837578666,0.46495723724365234,0.10686804722996199
p97,1991_2020,2,EBF,0_500,134,0.1797528053397563,0.15265274047851562,0.11997266141457662
p97,1991_2020,2,EBF,500_1000,23,0.19597783296004587,0.1898040771484375,0.07861940877601904
p97,1991_2020,2,EBF,1000_1500,1,0.1839466094970703,0.1839466094970703,0.0
p97,1991_2020,4,DBF,0_500,1278,0.4856753670180534,0.4937095642089844,0.12785861415658228
p97,1991_2020,4,DBF,500_1000,1276,0.4466979346678922,0.437255859375,0.13092118667795358
p97,1991_2020,4,DBF,1000_1500,361,0.4038355581648132,0.40984153747558594,0.12077352076725867
p97,1991_2020,4,DBF,1500_2000,7,0.4629617418561663,0.40161895751953125,0.1860867603728529
p97,1991_2020,5,MF,0_500,1403,0.5199447762345893,0.5251083374023438,0.08376250320479449
p97,1991_2020,5,MF,500_1000,1186,0.45680851397586714,0.4670534133911133,0.1011213008204817
p97,1991_2020,5,MF,1000_1500,599,0.4527450618839423,0.46414756774902344,0.10754321442908801
p97,1991_2020,5,MF,1500_2000,49,0.43922414585035674,0.45859241485595703,0.11237091884388957
p97,1991_2020,6,Closed Shrub,500_1000,1,0.6248664855957031,0.6248664855957031,0.0
p97,1991_2020,7,Open Shrub,0_500,614,0.32951297511495287,0.3046293258666992,0.1283497854919386
p97,1991_2020,7,Open Shrub,500_1000,1188,0.33994712893810336,0.3118400573730469,0.19680324099783014
p97,1991_2020,7,Open Shrub,1000_1500,968,0.2136546087659095,0.16749858856201172,0.14224757379208028
p97,1991_2020,7,Open Shrub,1500_2000,293,0.2823735455197279,0.2666454315185547,0.08202586785807353
p97,1991_2020,7,Open Shrub,2000_2500,56,0.27155586651393343,0.27001380920410156,0.08265439040405535
p97,1991_2020,7,Open Shrub,2500_3500,6,0.2899964650472005,0.2647285461425781,0.056546878749280445
p97,1991_2020,8,Woody Savanna,0_500,1505,0.3742082082551975,0.36988067626953125,0.14694251925975016
p97,1991_2020,8,Woody Savanna,500_1000,1206,0.3461748276579242,0.33893585205078125,0.1304230211539303
p97,1991_2020,8,Woody Savanna,1000_1500,559,0.41522379040931334,0.4202594757080078,0.1342228934126217
p97,1991_2020,8,Woody Savanna,1500_2000,72,0.4443492492039998,0.47959184646606445,0.11309423634531009
p97,1991_2020,9,Savanna,0_500,4104,0.39876543336909187,0.3896036148071289,0.1508304139792956
p97,1991_2020,9,Savanna,500_1000,1843,0.3828036152533843,0.37602996826171875,0.1430330723386827
p97,1991_2020,9,Savanna,1000_1500,493,0.4124878850476495,0.4000816345214844,0.16070351621122977
p97,1991_2020,9,Savanna,1500_2000,20,0.41181435585021975,0.3784961700439453,0.1554212760292921
p97,1991_2020,9,Savanna,2000_2500,1,0.4391193389892578,0.4391193389892578,0.0
p97,1991_2020,10,Grass,0_500,2158,0.3703227957936765,0.3364591598510742,0.16169984559424555
p97,1991_2020,10,Grass,500_1000,2042,0.3938571451693394,0.39536094665527344,0.14510547608822097
p97,1991_2020,10,Grass,1000_1500,1998,0.4599934884377786,0.4698610305786133,0.13609425230287353
p97,1991_2020,10,Grass,1500_2000,1126,0.44253444756326626,0.4538097381591797,0.1066141717924117
p97,1991_2020,10,Grass,2000_2500,452,0.3940665489804428,0.39104461669921875,0.09618288865050605
p97,1991_2020,10,Grass,2500_3500,97,0.35543253003936454,0.34685611724853516,0.09482117903580613
p97,1991_2020,11,Wetland,0_500,11,0.5043425126509233,0.4875774383544922,0.09137846170556675
p97,1991_2020,11,Wetland,500_1000,1,0.6140308380126953,0.6140308380126953,0.0
p97,1991_2020,12,Cropland,0_500,19968,0.4671262103395584,0.48358821868896484,0.14154065551991413
p97,1991_2020,12,Cropland,500_1000,2714,0.3964109972459741,0.41851806640625,0.16783749451746505
p97,1991_2020,12,Cropland,1000_1500,809,0.41422149130086816,0.42534828186035156,0.1322391410876735
p97,1991_2020,12,Cropland,1500_2000,42,0.5414022718157087,0.5420608520507812,0.1397429944607002
p97,1991_2020,12,Cropland,2000_2500,2,0.4197068214416504,0.4197068214416504,0.13572072982788086
p97,1991_2020,13,Urban,0_500,825,0.46440876353870736,0.4808845520019531,0.12011370621867312
p97,1991_2020,13,Urban,500_1000,56,0.4526097433907645,0.4622354507446289,0.11864735254577151
p97,1991_2020,13,Urban,1000_1500,6,0.4069089889526367,0.40772151947021484,0.1006584584361266
p97,1991_2020,14,Crop/Nat Mosaic,0_500,996,0.3272966457658025,0.308837890625,0.13228529257614097
p97,1991_2020,14,Crop/Nat Mosaic,500_1000,72,0.36030324300130206,0.32953643798828125,0.1376740398601692
p97,1991_2020,14,Crop/Nat Mosaic,1000_1500,4,0.5907435417175293,0.5854864120483398,0.030274242704030122
p97,1991_2020,15,Snow/Ice,2000_2500,1,0.4226217269897461,0.4226217269897461,0.0
p97,1991_2020,15,Snow/Ice,2500_3500,3,0.4108421007792155,0.37790775299072266,0.08139945701389428
p97,1991_2020,16,Barren,0_500,6734,0.30079282721532785,0.3012199401855469,0.06789410260362405
p97,1991_2020,16,Barren,500_1000,3864,0.2857472654702007,0.2392559051513672,0.11382141208463899
p97,1991_2020,16,Barren,1000_1500,989,0.22869289656620778,0.2364940643310547,0.08402592285753148
p97,1991_2020,16,Barren,1500_2000,63,0.27199678572397384,0.27346038818359375,0.07487778297755289
p97,1991_2020,16,Barren,2000_2500,25,0.29980712890625,0.2782554626464844,0.06317743660749305
p97,1991_2020,16,Barren,2500_3500,34,0.41977569636176615,0.40302062034606934,0.1142980384896864
p97,1991_2020,17,Water,0_500,1532,0.36473142696111693,0.3630828857421875,0.1454092118647317
p97,1991_2020,17,Water,500_1000,43,0.3599206791367642,0.37994956970214844,0.09575355010411021
p97,1991_2020,17,Water,1000_1500,9,0.37100134955512154,0.3672218322753906,0.03360467552296411
p99,1981_2020,1,ENF,0_500,373,0.285552978515625,0.3097648620605469,0.08893541215000776
p99,1981_2020,1,ENF,500_1000,259,0.270354852713213,0.2905769348144531,0.09865422584701776
p99,1981_2020,1,ENF,1000_1500,251,0.3208062867244401,0.33864593505859375,0.11366000659928442
p99,1981_2020,1,ENF,1500_2000,108,0.3378654497641104,0.33772850036621094,0.09818598771090245
p99,1981_2020,2,EBF,0_500,134,0.18133576236554047,0.18655776977539062,0.10845013681136766
